Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
cc8_cu0,3418.769,0.000,0.000,0.000
cc8_cu1,3418.769,0.000,0.000,0.000
cc8_status,3418.769,0.000,0.000,0.000
cc8_ctrl,3418.769,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
cc8_cu0,unpack_cu8_nk_inputs_U0,3418.769,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_113_7_fu_221,3418.769,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_97_6_fu_230,3418.769,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_75_4_fu_243,3418.769,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_84_5_fu_252,3418.769,0.000,0.000,0.000
cc8_cu0,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_44_2_VITIS_LOOP_48_3_fu_261,3418.769,0.000,0.000,0.000
cc8_cu0,compute_core_8x64_unified_U0,3418.769,0.000,0.000,0.000
cc8_cu0,compute_core_8x64_unified_U0/grp_run_cu8_mm_task_fu_165,3418.769,0.000,0.000,0.000
cc8_cu0,compute_core_8x64_unified_U0/grp_run_cu8_vector_task_fu_196,3418.769,0.000,0.000,0.000
cc8_cu0,pack_cu8_nk_results_U0,3418.769,0.000,0.000,0.000
cc8_cu0,pack_cu8_nk_results_U0/grp_pack_cu8_nk_results_Pipeline_VITIS_LOOP_145_2_VITIS_LOOP_149_3_fu_99,3418.769,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0,3418.769,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_113_7_fu_221,3418.769,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_97_6_fu_230,3418.769,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_75_4_fu_243,3418.769,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_84_5_fu_252,3418.769,0.000,0.000,0.000
cc8_cu1,unpack_cu8_nk_inputs_U0/grp_unpack_cu8_nk_inputs_Pipeline_VITIS_LOOP_44_2_VITIS_LOOP_48_3_fu_261,3418.769,0.000,0.000,0.000
cc8_cu1,compute_core_8x64_unified_U0,3418.769,0.000,0.000,0.000
cc8_cu1,compute_core_8x64_unified_U0/grp_run_cu8_mm_task_fu_165,3418.769,0.000,0.000,0.000
cc8_cu1,compute_core_8x64_unified_U0/grp_run_cu8_vector_task_fu_196,3418.769,0.000,0.000,0.000
cc8_cu1,pack_cu8_nk_results_U0,3418.769,0.000,0.000,0.000
cc8_cu1,pack_cu8_nk_results_U0/grp_pack_cu8_nk_results_Pipeline_VITIS_LOOP_145_2_VITIS_LOOP_149_3_fu_99,3418.769,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0,3418.769,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_load_cc8_feature_gbuf_cc8_feature_buffer_t_688u_s_fu_4442,3418.769,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_load_cc8_feature_gbuf_cc8_feature_buffer_t_688u_s_fu_4465,3418.769,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_run_cc8_generic_vector_exchange_cc8_feature_buffer_t_688u_cc8_feature_buffer_t_688u_s_fu_4487,3418.769,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_clear_cc8_gbuf_cc8_feature_buffer_t_688u_s_fu_4535,3418.769,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_run_cc8_projection_waves_flat_cc8_feature_buffer_t_688u_cc8_feature_buffer_t_688u_s_fu_4549,3418.769,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_store_cc8_gbuf_to_hbm_cc8_feature_buffer_t_688u_s_fu_4656,3418.769,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_load_cc8_prefill_query_block_fu_4676,3418.769,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_load_cc8_prefill_query_block_fu_4692,3418.769,0.000,0.000,0.000
cc8_ctrl,control_cache_8x64_dual_core_U0/grp_init_cc8_prefill_flash_state_fu_4708,3418.769,0.000,0.000,0.000
